popular_similar_charities,rated_similar_charities,charity_url,charity_phoneNumber,charity_Name,homepage_Link,transperancy_Stars,agent_contactEmail,overall_starRating,charity_address
"ALSAC - St. Jude Children's Research Hospital,Lynn Sage Cancer Research Foundation,CHOC Foundation,All Children's Hospital Foundation","John Muir Health Foundation,Jonsson Cancer Center Foundation,Children's Hospital Guild Association,CHOC Foundation",,"
			tel: (412) 361-5200",Hôpital Albert Schweitzer Haiti,http://www.hashaiti.org,96.00,,92.61,"
		
			2840 Liberty Ave.,
			Suite 201, Pittsburgh, PA 15222"
"The Humane Society of the United States,American Society for the Prevention of Cruelty to Animals,People for the Ethical Treatment of Animals,PetSmart Charities","National Anti-Vivisection Society,Farm Sanctuary,PetSmart Charities,Humane Farming Association",,"
			tel: (203) 656-1522",Friends of Animals,http://www.friendsofanimals.org,85.00,,81.10,"
		
			777 Post Road,
			Suite 205, Darien, CT 06820    "
"The Nature Conservancy,Environmental Defense Fund,The Sierra Club Foundation,Greenpeace Fund","Appalachian Voices,North Cascades Institute,Montana Wilderness Association,Mountains to Sound Greenway Trust",, fax: (301) 548-0146,Izaak Walton League of America,"http://www.iwla.org/,#",97.00,,78.06,"
		
			707 Conservation Lane,
			Gaithersburg, MD 20878,
			tel: (301) 548-0150"
"Friends of the Israel Defense Forces,American Friends of Magen David Adom,Hadassah, The Women's Zionist Organization of America,Jewish National Fund, United States","American Friends of the Israel Philharmonic Orchestra,The Shalom Hartman Institute of North America,Friends of Yad Sarah,American Friends of Nishmat",, fax: (646) 884-7440,Israel Tennis Centers Foundation ,http://www.israeltenniscenters.org,96.00,,92.26,"
		
			432 Park Avenue South, 4th Floor,
			New York, NY 10016,
			tel: (646) 884-7450"
"FIRST,DonorsChoose.org,Kids In Need Foundation,Adopt-A-Classroom","Communities In Schools of Georgia,The TEAK Fellowship,Prep for Prep,Uncommon Schools",, fax: (715) 359-2056,Junior Achievement of Wisconsin,http://www.jawis.org/,82.00,,84.98,"
		
			11111 West Liberty Drive,
			Milwaukee, WI 53224,
			tel: (414) 577-3800"
"Michael J. Fox Foundation for Parkinson's Research,Cancer Support Services,Be The Match Foundation,Prostate Cancer Foundation","Pediatric Cancer Foundation,Arthritis National Research Foundation,Rheumatology Research Foundation,Brain Research Foundation",,"
			tel: (404) 531-4111","It's The Journey, Inc.",http://itsthejourney.org/,100.00,,77.59,"
		
			270 Carpenter Drive,
			Suite 515, Atlanta, GA 30328"
"American Jewish Congress,Center for International Policy,Americans for Peace Now,National Peace Corps Association","National Peace Corps Association,Center for International Policy,Jamestown Foundation,Center for Security Policy",,"
			tel: (202) 857-6644",The Israel Project,http://theisraelproject.org,89.00,,80.95,"
		
			2020 K Street, NW,
			Suite 7600, Washington, DC 20006"
"Starkey Hearing Foundation,Heritage for the Blind,National Federation of the Blind,Leader Dogs for the Blind","Lighthouse of Broward County,Miami Lighthouse for the Blind and Visually Impaired,Junior Blind of America,The Colorado Center for the Blind",,"
			tel: (215) 343-9100",Israel Guide Dog Center for the Blind,http://www.israelguidedog.org,96.00,,97.07,"
		
			968 Easton Road,
			Suite H, Warrington, PA 18976"
"Friends of the Israel Defense Forces,American Friends of Magen David Adom,Hadassah, The Women's Zionist Organization of America,Jewish National Fund, United States","American Society for the Protection of Nature in Israel,American Associates, Ben-Gurion University of the Negev,Friends of Yad Sarah,American Friends of Nishmat",,"
			tel: (561) 832-9277",Israel Cancer Association USA,http://www.icausa.org/,97.00,,83.69,"
		
			525 South Flagler Drive,
			Suite 202, West Palm Beach, FL 33401"
"Sea Education Association,Wilderness Inquiry,Ocean Discovery Institute,Center for Wooden Boats","Four Corners School of Outdoor Education,Wilderness Inquiry,Sea Education Association,Ocean Discovery Institute",, fax: (206) 855-4301,IslandWood,http://islandwood.org/,100.00,,86.40,"
		
			4450 Blakely Avenue, NE,
			Bainbridge Island, WA 98110,
			tel: (206) 855-4300"
"Boys & Girls Clubs of America,Big Brothers Big Sisters of America,The Fresh Air Fund,California Police Youth Charities","Boys & Girls Clubs of Henderson,Boys & Girls Clubs of Broward County,North Penn Valley Boys & Girls Club,Boys & Girls Clubs of Central Florida",," 
            ",The 52nd Street Project,http://www.52project.org,Not yet scored or rated,,88.55,"
		
			789 Tenth Avenue,
			New York, NY 10019,
			tel: (212) 333-5252"
"Project C.U.R.E.,Direct Relief,Project HOPE,AmeriCares","World Medical Relief,Catholic Medical Mission Board,Free Wheelchair Mission,MedShare International",, fax: (419) 878-3098,ISOH/IMPACT,http://www.isohimpact.org/,92.00,,84.57,"
		
			25182 West River Road,
			Perrysburg, OH 43551,
			tel: (419) 878-8548"
"Wikimedia Foundation,Food and Water Watch,The Heritage Foundation,United States Justice Foundation","The Brookings Institution,Chapin Hall,Salzburg Global Seminar,Atlas Economic Research Foundation (Atlas Network)",,"
			tel: (949) 222-6550",The Ayn Rand Institute,http://www.aynrand.org,89.00,,90.02,"
		
			2121 Alton Parkway,
			Suite 250, Irvine, CA 92606"
"Vermont Public Radio,Southern California Public Radio,KQED,KCRW Foundation","Vermont Public Radio,New York Public Radio,WTCI,WWOZ",,"
			tel: (206) 543-2710",KUOW Puget Sound Public Radio,http://www.kuow.org/,100.00,,94.25,"
		
			4518 University Way, NE,
			Suite 310, Seattle, WA 98105"
"Midwest Food Bank,Community FoodBank of New Jersey,City Harvest,The Billings Food Bank","America's Second Harvest of the Big Bend,Gleaners Food Bank of Indiana, Inc.,Feeding America Eastern Wisconsin,Maryland Food Bank",, fax: (516) 747-6843,Island Harvest,http://www.islandharvest.org,100.00,,98.00,"
		
			199 Second Street,
			Mineola, NY 11501,
			tel: (516) 294-8528"
"The Nature Conservancy,Environmental Defense Fund,The Sierra Club Foundation,Greenpeace Fund","Washington Trails Association,Amazon Conservation Team,PATH Foundation,Teton Science Schools",,"
			tel: (207) 594-9209",Island Institute,http://www.islandinstitute.org/,96.00,,91.27,"
		
			P.O. Box 648,
			386 Main Street, Rockland, ME 04841"
"The Nature Conservancy,Environmental Defense Fund,The Sierra Club Foundation,Greenpeace Fund","National Environmental Education Foundation,Rural Advancement Foundation International-USA,Teton Science Schools,Ecotrust",,"
			tel: (202) 232-7933",Island Press,http://www.islandpress.org,93.00,,78.16,"
		
			1718 Connecticut Avenue, NW,
			Suite 300, Washington, DC 20009"
"Allen-Stevenson School,Bernard Zell Anshe Emet Day School,Epiphany School,Sacred Heart Nativity School","Sacred Heart Nativity School,The East Harlem School at Exodus House,Crane Country Day School,Bernard Zell Anshe Emet Day School",,": N/A
			",Island Child Development Center,,,,89.53,"
		
			1854 Cornaga Avenue,
			Far Rockaway, NY 11691,
			
            "
"International Rescue Committee,Catholic Relief Services,Action Against Hunger | ACF-USA,Partners In Health","Wings of Hope,Right To Play,Population Media Center,Worldfund",, fax: (703) 370-7201,Islamic Relief USA,http://www.irusa.org,100.00,,80.90,"
		
			3655 Wheeler Ave.,
			Alexandria, VA 22304,
			tel: (888) 479-4968"
"Abraham Joshua Heschel School,Yeshivat Shaare Torah,Glenwood Academy,KIPP DC","Melvin J. Berman Hebrew Academy,Heritage Hall,Grand Rapids Christian Schools,KIPP DC",, fax: (504) 896-8597,Isidore Newman School,http://www.newmanschool.org/,89.00,,72.93,"
		
			1903 Jefferson Avenue,
			New Orleans, LA 70115,
			tel: (504) 896-6367"
"American Civil Liberties Union Foundation,AARP Foundation,Southern Poverty Law Center,Mothers Against Drunk Driving","Center for Individual Rights,Brennan Center for Justice at NYU School of Law,National Black Child Development Institute,National Urban League",,"
			tel: (612) 333-1260",ISAIAH,http://isaiahmn.org,73.00,,78.83,"
		
			2356 University Avenue West,
			Suite 405, St. Paul, MN 55114"
"Friends of the Israel Defense Forces,American Friends of Magen David Adom,Hadassah, The Women's Zionist Organization of America,Jewish National Fund, United States","American Friends of Shalva Israel,The Shalom Hartman Institute of North America,Friends of Yemin Orde,American Friends of the Israel Philharmonic Orchestra",,"
			tel: (212) 683-7772",ISEF Foundation,http://www.isef.org,96.00,,85.08,"
		
			135 West 29th Street,
			Suite 303, New York, NY 10001"
"American Institute for Cancer Research,Dana-Farber Cancer Institute,Breast Cancer Research Foundation,National Foundation for Cancer Research","Cancer Research Institute,Breast Cancer Research Foundation,Dana-Farber Cancer Institute,Pediatric Cancer Research Foundation",,"
			tel: (888) 654-4273",Israel Cancer Research Fund,http://www.icrfonline.org,89.00,,85.98,"
		
			295 Madison Avenue,
			Suite 1030, New York, NY 10017"
"Metropolitan Museum of Art,Chrysler Museum of Art,Museum of Fine Arts, Boston,The Detroit Institute of Arts","The Mint Museums,The Baltimore Museum of Art,Honolulu Museum of Art,Los Angeles County Museum of Art",, fax: (617) 566-7653,Isabella Stewart Gardner Museum,http://www.gardnermuseum.org,81.00,,86.20,"
		
			280 The Fenway,
			Boston, MA 02115,
			tel: (617) 566-5643"
"AMVETS National Service Foundation,National Vietnam Veterans Foundation,Injured Marine Semper Fi Fund","AMVETS National Service Foundation,Injured Marine Semper Fi Fund,Pat Tillman Foundation,Paralyzed Veterans of America",,"
			tel: (212) 982-9699",Iraq and Afghanistan Veterans of America,http://www.iava.org/index.php,100.00,,93.32,"
		
			292 Madison Avenue,
			10th Floor, New York, NY 10017"
"Christian Appalachian Project,Baby Buggy,Society of St. Vincent de Paul of Portland, Oregon,Society of St. Vincent de Paul - Phoenix","MEND - Meet Each Need with Dignity,Bishop Sullivan Center,St. Vincent de Paul of Seattle|King County,Society of St. Vincent de Paul of Alameda County",,"
			tel: (972) 721-9181",Irving Cares,http://www.irvingcares.org/,100.00,,94.61,"
		
			440 South Nursery Road,
			Suite 101, Irving, TX 75060"
"A Noise Within,Childsplay,The Public Theater/New York Shakespeare Festival,The Goodman Theatre","The Cleveland Play House,Manhattan Theatre Club,Park Square Theatre Company,A Contemporary Theatre",,"
			tel: (212) 255-0270",The Irish Repertory Theatre,http://irishrep.org,93.00,,94.35,"
		
			132 West 22nd Street,
			2nd Floor, New York, NY 10011"
"Audubon Naturalist Society,Access Fund,Western Pennsylvania Conservancy,American Hiking Society","Thomas Irvine Dodge Nature Center,Greater Newark Conservancy,Earth Force,Access Fund",, fax: (410) 902-8210,Irvine Nature Center,http://www.explorenature.org/,100.00,,76.99,"
		
			11201 Garrison Forest Road,
			Owings Mills, MD 21117,
			tel: (410) 738-9200"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Elam,Maranatha Volunteers International,Resourcing Christian Education International,Holy Land Christian Ecumenical Foundation",," 
            ",Iran Alive Ministries,http://iranaliveministries.org/,52.00,,63.10,"
		
			P.O. Box 702925,
			Dallas, TX 75370,
			tel: (214) 932-0995"
"CompassPoint Nonprofit Services,Keep America Beautiful,Local Initiatives Support Corporation,Center for Resilient Cities","KaBOOM!,West Valley Community Services,Preservation Resource Center of New Orleans,Beyond Housing",, fax: (515) 283-0031,Iowa Citizens for Community Improvement,http://www.iowacci.org,82.00,,82.43,"
		
			2001 Forest Avenue,
			Des Moines, IA 50311,
			tel: (515) 282-0484"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","United States Soccer Foundation,Maccabi USA/Sports for Israel,Tiger Athletic Foundation,Higher Ground Sun Valley",," 
            ",Iowa Sports Foundation,http://www.iowasportsfoundation.org/,66.00,,75.28,"
		
			1421 South Bell Avenue #104,
			Ames, IA 50010,
			tel: (888) 777-8881"
"Planned Parenthood Federation of America,International Planned Parenthood Federation/Western Hemisphere Region,Advocates for Youth,EngenderHealth","Planned Parenthood of Central North Carolina,Planned Parenthood of New York City,Planned Parenthood of Santa Barbara, Ventura & San Luis Obispo Counties,Planned Parenthood Los Angeles",, fax: (919) 929-0258,Ipas,http://www.ipas.org,93.00,,94.19,"
		
			P.O. Box 9990,
			Chapel Hill, NC 27515,
			tel: (800) 334-8446"
"Robin Hood Foundation,Entertainment Industry Foundation,Share Our Strength,Charities Aid Foundation America","American Ireland Fund,Foundation for the National Archives,Funding Exchange,Variety the Children's Charity of Southern California",,"
			tel: (202) 363-8602",The Investigative Project on Terrorism Foundation,"http://www.investigativeproject.org/,https://docs.google.com/a/charitynavigator.org/file/d/0B8LHEIgBvQJRS0VRelppaURtcnM/edit",,,93.51,"
		
			5505 Connecticut Avenue, NW,
			Suite 341, Washington, DC 20015"
"Palestine Children's Relief Fund,United Palestinian Appeal, Inc.,Sudan Relief Fund,Sankara Eye Foundation, USA","Hope for Haiti Children's Center - Danita's Children,St. Boniface Haiti Foundation,The Miracle Foundation,Amigos for Christ",, fax: (619) 660-0576,Invisible Children,http://invisiblechildren.com,100.00,,84.23,"
		
			1600 National Ave. ,
			San Diego, CA 92113,
			tel: (619) 562-2799"
"The Blue Card,National Council on Aging,Little Sisters of the Poor of Palatine - Saint Joseph's Home for the Elderly,Alzheimer's Family Services Center","SAGE Eldercare,Senior Concerns,Lutheran Homes of South Carolina Foundation,The Ohio Masonic Home",, fax: (202) 895-0244,Iona Senior Services,http://www.iona.org,100.00,,90.38,"
		
			4125 Albemarle Street, NW,
			Washington, DC 20016,
			tel: (202) 895-9448"
"National Constitution Center,Admiral Nimitz Foundation,International Tennis Hall of Fame,American Film Institute","National Civil Rights Museum,USS Constitution Museum,Oakland Museum of California,AACA Museum",,"
			tel: (646) 381-5271",Intrepid Museum Foundation,http://www.intrepidmuseum.org,93.00,,91.45,"
		
			One Intrepid Square,
			West 46th Street & Twelfth Avenue, New York, NY 10036    "
"The Children's Aid Society,Aid for Starving Children,Our Lady's Inn,Children's Home Society of Florida","Children's Fund,United Hospice of Rockland,Open Door Community House,The Children's Aid Society",,"
			tel: (303) 839-1808",Invest in Kids,http://www.iik.org,Not yet scored or rated,,89.42,"
		
			1775 Sherman St,
			Suite 2075, Denver, CO 80203"
"Young Life,Teen Mania Ministries,Fellowship of Christian Athletes,Hillel: The Foundation for Jewish Campus Life","Fellowship of Christian Athletes,Military Community Youth Ministries,Young Life,Word of Life Fellowship",,"
			tel: (608) 274-9001",InterVarsity Christian Fellowship/USA,http://www.intervarsity.org,96.00,,91.72,"
		
			6400 Schroeder Road,
			P.O. Box 7895, Madison, WI 53707    "
"Autism Speaks,Lupus Foundation of America,Crohn's & Colitis Foundation of America,Epilepsy Foundation","National Alopecia Areata Foundation,The Marfan Foundation,American Brain Tumor Association,Angiogenesis Foundation",,"
			tel: (703) 442-2070",Interstitial Cystitis Association,http://www.ichelp.org,97.00,,76.32,"
		
			1760 Old Meadow Road,
			Suite 500, McLean, VA 22102"
"Fractured Atlas,The Actors Fund,Dance/USA,Academy of American Poets","The Field,Montalvo Arts Center,Princess Grace Foundation-USA,American Composers Forum",,"
			tel: (415) 626-2787",Intersection for the Arts,http://theintersection.org/,96.00,,96.60,"
		
			925 Mission Street,
			Suite 109, San Francisco, CA 94103"
"charity: water,Kiva,Women for Women International,GlobalGiving","buildOn,Partners Worldwide,Tostan,ACCION International",,"
			tel: (410) 951-1500",International Youth Foundation,http://www.iyfnet.org,97.00,,97.59,"
		
			32 South Street,
			Suite 500, Baltimore, MD 21202    "
"Food For The Poor,Feed The Children,Feed My Starving Children,Books For Africa","Kids Against Hunger,Books For Africa,Food For All,Feed My Starving Children",, fax: (212) 926-5842,Interreligious Foundation for Community Organization,http://www.ifconews.org/,66.00,,63.12,"
		
			418 West 145th Street,
			New York, NY 10031,
			tel: (212) 926-5757"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Heart to Honduras,Elam,Adventist Frontier Missions,Josiah Venture",,"
			tel: (800) 809-4440",InterServe USA,http://www.interserveusa.org,Not yet scored or rated,,80.87,"
		
			P.O. Box 418,
			7000 Ludlow Street, Upper Darby, PA 19082"
"Center for Science in the Public Interest,National Partnership for Women & Families,League of Women Voters Education Fund,National Women's Law Center","National Council of Jewish Women,National Women's Law Center,National Partnership for Women & Families,Washington Area Women's Foundation",,"
			tel: (202) 496-1992",International Women's Media Foundation,http://iwmf.org/,85.00,,70.85,"
		
			1625 K Street NW,
			Suite 1275, Washington, DC 20006"
"World Wildlife Fund,National Wildlife Federation,Defenders of Wildlife,Wildlife Conservation Network","Sea Turtle Conservancy,Wildlife Conservation Network,Point Blue Conservation Science,EcoHealth Alliance",, fax: (763) 560-7368,International Wolf Center,http://www.wolf.org,97.00,,91.35,"
		
			1396 Highway 169,
			Ely, MN 55731,
			tel: (763) 560-7374"
"Human Rights Watch,Amnesty International USA,International Justice Mission,Polaris Project","EarthRights International,The Center for Justice and Accountability,Center for Victims of Torture,MADRE",,"
			tel: (212) 979-8500",International Women's Health Coalition,http://www.iwhc.org,97.00,,83.44,"
		
			333 Seventh Avenue,
			6th Floor, New York, NY 10001"
"National Constitution Center,Intrepid Museum Foundation,Admiral Nimitz Foundation,American Film Institute","Museum of the Moving Image,National Constitution Center,Baltimore & Ohio Railroad Museum,National Steinbeck Center",, fax: (401) 849-8780,International Tennis Hall of Fame,http://www.tennisfame.com,89.00,,86.32,"
		
			194 Bellevue Avenue,
			Newport, RI 02840,
			tel: (800) 457-1144"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","G.O. Ministries,Leadership Resources International,International Messengers,Asian Access",, fax: (847) 429-0800,International Teams,http://www.iteams.us,96.00,,89.52,"
		
			411 West River Road,
			Elgin, IL 60123,
			tel: (847) 429-0900"
"American Rivers,Riverkeeper,Hudson River Sloop Clearwater,American Whitewater","American Whitewater,River Network,Riverkeeper,Blue Water Baltimore",,"
			tel: (510) 848-1155",International Rivers,http://www.internationalrivers.org/,100.00,,84.04,"
		
			2150 Allston Way,
			Suite 300, Berkeley, CA 94704"
"American Jewish Joint Distribution Committee,Jewish Federation of South Palm Beach County,UJA-Federation of New York,Jewish Federation of Central New Jersey","Jewish Federation of Greater Philadelphia,Jewish Federation of Cincinnati,American Jewish Joint Distribution Committee,Jewish Federation of Greater Long Beach and West Orange County",,"
			tel: (516) 466-8947",Iranian American Jewish Federation of New York,https://www.iajfny.org/,50.00,,64.06,"
		
			770 Middle Neck Road,
			Suite 5P, Great Neck, NY 11024"
"World Wildlife Fund,National Wildlife Federation,Defenders of Wildlife,Wildlife Conservation Network","The WILD Foundation,Orangutan Foundation International,African Wildlife Foundation,American Bird Conservancy",, fax: (817) 259-9102,International Rhino Foundation,http://www.rhinos.org,93.00,,94.45,"
		
			201 Main Street,
			Fort Worth, TX 76102,
			tel: (540) 465-9595"
"Autism Research Institute,Christopher & Dana Reeve Foundation,Children's Tumor Foundation,Pediatric Brain Tumor Foundation","Dystonia Medical Research Foundation,Alliance for Aging Research,Scleroderma Research Foundation,Alliance for Lupus Research",, fax: (513) 874-2520,International Rett Syndrome Foundation,http://www.rettsyndrome.org/,97.00,,92.84,"
		
			4600 Devitt Drive,
			Cincinnati, OH 45246,
			tel: (800) 818-7388"
"Islamic Relief USA,Catholic Relief Services,Action Against Hunger | ACF-USA,Partners In Health","Fistula Foundation,Partners In Health,Global Health Ministries,Hand in Hand Ministries",, fax: (212) 551-3179,International Rescue Committee,http://www.rescue.org,97.00,,95.35,"
		
			122 East 42nd Street,
			New York, NY 10168    ,
			tel: (877) 733-8433"
"Project C.U.R.E.,Direct Relief,Project HOPE,AmeriCares","Matthew 25: Ministries,Keep a Child Alive,Project HOPE,AmeriCares",,"
			tel: (619) 284-7979",International Relief Teams,http://www.irteams.org/,100.00,,96.33,"
		
			4560 Alvarado Canyon Road,
			Suite 2G, San Diego, CA 92120"
"World Wildlife Fund,National Wildlife Federation,Defenders of Wildlife,Wildlife Conservation Network","Sea Turtle Conservancy,Point Blue Conservation Science,Sea Shepherd Conservation Society,EcoHealth Alliance",, fax: (843) 871-7988,International Primate Protection League,http://www.ippl.org,100.00,,97.28,"
		
			P.O. Box 766,
			Summerville, SC 29484,
			tel: (843) 871-2280"
"United States Fund for UNICEF,United Nations Foundation,USA for UNHCR,World Food Program USA","Friends of UNFPA,United Nations Foundation,United States Fund for UNICEF,World Food Program USA",,"
			tel: (212) 687-4300",International Peace Institute,http://www.ipacademy.org,96.00,,89.17,"
		
			777 United Nations Plaza,
			4th Floor, New York, NY 10017    "
"Islamic Relief USA,International Rescue Committee,Catholic Relief Services,Action Against Hunger | ACF-USA","INMED Partnerships for Children,Rafiki Foundation,Curamericas Global,WaterAid America",,"
			tel: (877) 803-4622",International Orthodox Christian Charities,http://www.iocc.org,100.00,,86.12,"
		
			110 West Road,
			Suite 360, Baltimore, MD 21204    "
"National Constitution Center,Intrepid Museum Foundation,Admiral Nimitz Foundation,International Tennis Hall of Fame","National Civil Rights Museum,Oakland Museum of California,National Building Museum,Peabody Essex Museum",,"
			tel: (415) 543-4669",International Museum of Women,http://www.imow.org,78.00,,76.42,"
		
			235 Montgomery St,
			12th Floor, San Francisco, CA 94104"
"Autism Speaks,Lupus Foundation of America,Crohn's & Colitis Foundation of America,Epilepsy Foundation","Glaucoma Research Foundation,Angiogenesis Foundation,National MPS Society,American Autoimmune Related Diseases Association",,"
			tel: (617) 973-5801",International OCD Foundation,http://www.ocfoundation.org,81.00,,82.71,"
		
			18 Tremont Street,
			Suite 903, Boston, MA 02196"
"American Cancer Society,The Leukemia & Lymphoma Society,The V Foundation,The National Children's Cancer Society","Caring for Carcinoid Foundation,Alex's Lemonade Stand Foundation,The Leukemia & Lymphoma Society,CancerCare",,"
			tel: (800) 452-2873",International Myeloma Foundation,http://www.myeloma.org,100.00,,93.90,"
		
			12650 Riverside Drive,
			Suite 206, North Hollywood, CA 91607"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Leadership Resources International,Ukrainian Catholic Education Foundation,Asian Access,Maranatha Volunteers International",, fax: (641) 357-6791,International Messengers,http://www.internationalmessengers.org/,100.00,,97.21,"
		
			P.O. Box 618,
			Clear Lake, IA 50428,
			tel: (800) 243-6763"
"Doctors Without Borders, USA,Heifer Project International,Samaritan's Purse,CARE","World Relief,Lutheran World Relief,Mercy Corps,Aga Khan Foundation, USA",,"
			tel: (800) 481-4462",International Medical Corps,http://www.internationalmedicalcorps.org,97.00,,81.41,"
		
			12400 Wilshire Blvd.,
			Suite 1500, Los Angeles, CA 90025"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","New York Road Runners,United States Olympic Committee,Challenged Athletes Foundation,Higher Ground Sun Valley",,"
			tel: (888) 442-4622",International Mountain Bicycling Association,http://www.imba.com/,89.00,,91.08,"
		
			207 Canyon Boulevard,
			Suite 301, Boulder, CO 80302"
"The Voice of the Martyrs,Catholic Near East Welfare Association (CNEWA),Open Doors USA,Christian Aid Ministries","Resourcing Christian Education International,Global Scholars,Forward Edge International,e3 Partners Ministries",," 
            ",International Leadership Institute,http://www.ILITeam.org,89.00,,91.06,"
		
			524 Tanner Street,
			Carrollton, GA 30117,
			tel: (770) 832-1244"
"Human Rights Watch,Amnesty International USA,Polaris Project,The Carter Center","Center for Victims of Torture,Human Rights Watch,Love146,The Fund for Global Human Rights",, fax: (703) 465-5499,International Justice Mission,http://www.ijm.org,96.00,,94.45,"
		
			P.O. Box 58147,
			Washington, DC 20037,
			tel: (703) 465-5495"
"charity: water,Kiva,Women for Women International,GlobalGiving","Living Water International,Friends of Women's World Banking (FWWB),Water.org,Engineering Ministries International",,"
			tel: (212) 880-9147",International Institute of Rural Reconstruction (IIRR),http://www.iirr.org/,100.00,,98.81,"
		
			40 Exchange Place,
			Suite 1205, New York, NY 10005"
"The Rotary Foundation of Rotary International,Institute of International Education,Ashoka,AFS-USA","AFS-USA,American Academy in Rome,Eisenhower Fellowships,Ashoka",," 
            ",International House,http://www.ihouse-nyc.org,85.00,,84.50,"
		
			500 Riverside Drive,
			New York, NY 10027,
			tel: (212) 316-8440"
